Name;Currency;Type;Sub Type;Market;Isin Code;Industry;Supersector;Sector;Subsector;Average Training Hours Per Employee;Number Of Female Board Members;Number Of Board Members;Market Cap In Usd;Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd;Share Of Women In Total Workforce In %;Share Of Women In Management Bodies In %;Gender Pay Gap In %;Rate Of Employees With Disabilities In %;Board Gender Diversity (Female Board Members / Total Board Members) In %;Total Energy Consumption In Mwh;Rate Of Resignation In %;Component;Isin;Ticker;Trading Location;Issuer Country;Turnover;Turnover In Eur;Volume;Roa;Roe;Roic;Ccy;Index;Component;Ticker
PERNOD RICARD;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120693;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101015, Distillers and Vintners;22.47;8.0;14.0;39291470000.0;81.447116;0.4;0.353;0.013;0.035;0.571;1635242.0;0.085;Pernod Ricard Sa;FR0000120693;RI;Euronext Paris;France;64452106.75;64452106.75;428614.0;5.1;12.2;9.1;EUR;CAC_40;PERNOD RICARD SA;RI
PUBLICIS GROUPE SA;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000130577;40, Consumer Discretionary;4030, Media;403010, Media;40301020, Media Agencies;21.0;5.0;13.0;27524680000.0;11.3955;0.513;0.425;;0.015;0.385;111864.0;;Publicis Groupe Sa;FR0000130577;PUB;Euronext Paris;France;37795979.06;37795979.06;374471.0;3.8;13.7;14.3;EUR;CAC_40;PUBLICIS GROUPE SA;PUB
RENAULT;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000131906;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;22.4;5.0;16.0;15321330000.0;1273.5033;0.22;0.356;0.0;0.032;0.313;3884241.0;;Renault Sa;FR0000131906;RNO;Euronext Paris;France;41906035.435;41906035.435;895026.0;2.1;7.7;4.1;EUR;CAC_40;RENAULT SA;RNO
SAFRAN;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000073272;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;31.0;7.0;16.0;95182920000.0;0.0;0.293;0.263;;0.052;0.438;2143484.0;0.077;Safran Sa;FR0000073272;SAF;Euronext Paris;France;124395252.8;124395252.8;591624.0;4.1;30.7;16.1;EUR;CAC_40;SAFRAN SA;SAF
SAINT GOBAIN;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000125007;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other;17.2;7.0;14.0;38616300000.0;867.6416;0.237;0.375;0.009;0.019;0.5;41854000.0;0.086;Compagnie De Saint Gobain Sa;FR0000125007;SGO;Euronext Paris;France;71453100.35;71453100.35;993304.0;5.6;11.7;12.5;EUR;CAC_40;COMPAGNIE DE SAINT GOBAIN SA;SGO
SANOFI;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120578;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;;;;115493660000.0;;;;;;;;;Sanofi Sa;FR0000120578;SAN;Euronext Paris;France;167539014.59;167539014.59;1839942.0;4.5;7.3;9.7;EUR;CAC_40;SANOFI SA;SAN
SCHNEIDER ELECTRIC SE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121972;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;24.1;7.0;14.0;132210270000.00002;763.2417;0.33;0.41;0.03;;0.5;1201276.0;0.085;Schneider Electric Se;FR0000121972;SU;Euronext Paris;France;170063754.75;170063754.75;810844.0;6.3;15.7;13.8;EUR;CAC_40;SCHNEIDER ELECTRIC SE;SU
SOCIETE GENERALE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000130809;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;7.0;15.0;21182790000.0;;;;;;0.467;454210.0;;Societe Generale Sa;FR0000130809;GLE;Euronext Paris;France;114832949.385;114832949.385;4643755.0;0.2;4.6;;EUR;CAC_40;SOCIETE GENERALE SA;GLE
STELLANTIS NV;EUR;Stock;Ordinary Shares;Euronext Paris;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;;3.0;11.0;82315100000.0;6858.244394;;;;;0.273;15494891.0;;Stellantis Nv;NL00150001Q9;STLAP;Euronext Paris;Netherlands;74803134.41;74803134.41;2825395.0;7.4;24.1;19.7;EUR;CAC_40;STELLANTIS NV;STLAP
STELLANTIS NV;EUR;Stock;Ordinary Shares;Euronext Paris;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;;3.0;11.0;82315100000.0;6858.244394;;;;;0.273;15494891.0;;Stellantis Nv;NL00150001Q9;STLA;Bosa Milano;Netherlands;196733513.13;196733513.13;7440740.0;7.4;24.1;19.7;EUR;MIB;STELLANTIS NV;STLA
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;53411712.575;53411712.575;1334676.0;13.0;28.5;23.0;EUR;CAC_40;STMICROELECTRONICS NV;STM
