Name,Market Cap In Usd,Currency,Market,Index,Isin Code,Turnover In Eur,Issuer Country,Industry,Supersector,Sector,Subsector,Average Training Hours Per Employee,Number Of Female Board Members,Number Of Board Members,Share Of Women In Total Workforce In %,Share Of Women In Management Bodies In %,Gender Pay Gap In %,Rate Of Employees With Disabilities In %,Board Gender Diversity (Female Board Members / Total Board Members) In %,Total Energy Consumption In Mwh,Rate Of Resignation In %,Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd,Roa,Roe,Roic
Legrand,27149110000.0,EUR,Euronext Paris,CAC_40,FR0010307819,63082556.22,France,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202010, Electrical Components",22.0,6.0,14.0,,0.25,,0.024,0.429,384000.0,0.066,468.1464,6.6,17.2,12.7
Lvmh,428608830000.0,EUR,Euronext Paris,CAC_40,FR0000121014,381303740.3,France,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204020, Clothing and Accessories",,7.0,16.0,0.71,,,0.016,0.438,1939763.0,0.165,2.0116,10.2,26.7,21.0
Michelin,26713620000.0,EUR,Euronext Paris,CAC_40,FR001400AJ45,45002654.45,France,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101015, Tires",41.0,5.0,11.0,0.199,0.445,,0.069,0.455,10844175.342,0.054,,5.9,11.3,13.5
Orange,30270300000.0,EUR,Euronext Paris,CAC_40,FR0000133308,58217811.59,France,"15, Telecommunications","1510, Telecommunications","151020, Telecommunications Service Providers","15102015, Telecommunications Services",21.1,6.0,15.0,0.362,0.341,0.012,0.07,0.4,10620414.0,0.043,,3.2,8.3,7.0
Pernod Ricard,39291470000.0,EUR,Euronext Paris,CAC_40,FR0000120693,64452106.75,France,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451010, Beverages","45101015, Distillers and Vintners",22.47,8.0,14.0,0.4,0.353,0.013,0.035,0.571,1635242.0,0.085,81.447116,5.1,12.2,9.1
Publicis Groupe SA,27524680000.0,EUR,Euronext Paris,CAC_40,FR0000130577,37795979.06,France,"40, Consumer Discretionary","4030, Media","403010, Media","40301020, Media Agencies",21.0,5.0,13.0,0.513,0.425,,0.015,0.385,111864.0,,11.3955,3.8,13.7,14.3
Renault,15321330000.0,EUR,Euronext Paris,CAC_40,FR0000131906,41906035.435,France,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101020, Automobiles",22.4,5.0,16.0,0.22,0.356,0.0,0.032,0.313,3884241.0,,1273.5033,2.1,7.7,4.1
Safran,95182920000.0,EUR,Euronext Paris,CAC_40,FR0000073272,124395252.8,France,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201010, Aerospace",31.0,7.0,16.0,0.293,0.263,,0.052,0.438,2143484.0,0.077,,4.1,30.7,16.1
Saint Gobain,38616300000.0,EUR,Euronext Paris,CAC_40,FR0000125007,71453100.35,France,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101035, Building Materials: Other",17.2,7.0,14.0,0.237,0.375,0.009,0.019,0.5,41854000.0,0.086,867.6416,5.6,11.7,12.5
Sanofi,115493660000.0,EUR,Euronext Paris,CAC_40,FR0000120578,167539014.59,France,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals",,,,,,,,,,,,4.5,7.3,9.7
