Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Otello Corporation ASA,0.67 0.67,0.67 0.67,0.00 0.30%,02:26 AM 04/20/2024 02:26:01 AM UTC-0400 19.04.2024,0.01 1.17%,0.00 0.00%,0.01 0.88%
Petroleum Geo-Services ASA,0.73 0.73,0.73 0.73,-0.01 -1.45%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,0.14 21.95%,0.00 0.00%,0.02 2.49%
Photocure ASAshs,4.46 4.46,4.46 4.46,-0.07 -1.55%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-1.02 -17.93%,0.00 0.00%,-0.39 -7.71%
Q-Free ASA,11.90 11.90,0.00 0.00,0.00 0.01%,12:01 PM 04/20/2024 12:01:39 PM UTC-0400 01.12.2023,0.09 19.10%,0.00 0.00%,0.00 -0.51%
REC Silicon ASA,0.91 0.91,0.91 0.91,0.00 -0.22%,02:26 AM 04/20/2024 02:26:01 AM UTC-0400 19.04.2024,-0.15 -13.73%,0.00 0.00%,-0.57 -38.12%
Royal Caribbean Cruises Ltd.,118.60 118.60,118.60 118.60,-0.94 -0.79%,02:03 AM 04/20/2024 02:03:34 AM UTC-0400 19.04.2024,2.69 2.15%,45.14 54.50%,63.52 98.56%
SalMar ASAShs,54.25 54.25,54.25 54.25,-1.00 -1.81%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,4.91 9.60%,0.00 0.00%,15.19 37.18%
Scatec Solar ASA,5.90 5.90,5.90 5.90,-0.03 -0.51%,02:04 AM 04/20/2024 02:04:49 AM UTC-0400 19.04.2024,0.15 2.57%,0.00 0.00%,-0.64 -9.65%
Schibsted ASA,25.92 25.92,25.92 25.92,-0.14 -0.54%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,2.74 10.79%,0.00 0.00%,12.08 75.26%
Schibsted ASA (B),25.84 25.84,25.84 25.84,0.78 3.11%,02:10 AM 04/20/2024 02:10:51 AM UTC-0400 19.04.2024,0.22 0.91%,0.00 0.00%,9.59 64.67%
Stolt-Nielsen Ltd,39.90 39.90,39.90 39.90,-1.45 -3.51%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,1.00 3.13%,0.00 0.00%,2.80 9.29%
Storebrand AsaShs,7.87 7.87,7.87 7.87,-0.13 -1.56%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,0.32 3.87%,0.00 0.00%,1.55 22.17%
Subsea 7 S.A.,14.86 14.86,14.86 14.86,-0.14 -0.93%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,2.46 18.87%,0.00 0.00%,4.76 44.32%
Telenor ASA,10.45 10.45,10.35 10.54,0.15 1.46%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,-0.40 -3.74%,0.00 0.00%,-0.80 -7.14%
TGS-Nopec Geophysical Company ASAShs,11.00 11.00,11.00 11.00,-0.36 -3.17%,03:21 AM 04/20/2024 03:21:25 AM UTC-0400 19.04.2024,1.83 19.49%,0.00 0.00%,-3.63 -24.44%
Veidekke ASA,9.42 9.42,9.42 9.42,0.02 0.21%,02:10 AM 04/20/2024 02:10:51 AM UTC-0400 19.04.2024,1.57 18.98%,0.00 0.00%,0.01 0.10%
Wilh. Wilhelmsen ASA Oppstartsfase 1,8.43 8.43,8.33 8.43,0.11 1.26%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,-0.09 -1.06%,0.00 0.00%,1.54 22.46%
Wilh. Wilhelmsen Holding ASA (A),30.90 30.90,30.90 30.90,-0.25 -0.80%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-2.70 -8.29%,0.00 0.00%,6.25 26.48%
Wilh. Wilhelmsen Holding ASA (B),29.70 29.70,29.60 29.70,-0.10 -0.34%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,0.00 0.00%,0.00 0.00%,7.80 33.91%
XXL ASA,0.06 0.06,0.06 0.06,0.00 -2.35%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-0.02 -24.49%,0.00 0.00%,-0.05 -42.26%
Yara International ASA,28.35 28.35,28.35 28.35,0.44 1.58%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-2.15 -7.10%,0.00 0.00%,-12.08 -30.05%
