Name;Currency;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Market Cap in USD;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
HERMES INTL;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000052292;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;21.0;7.0;14.0;263646930000.00003;;0.67;0.4;;0.069;0.5;209100.0;
KERING;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121485;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;13.1;7.0;11.0;44893990000.0;42.4362;0.63;0.42;0.142;0.015;0.636;351130.0;
L'OREAL;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120321;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204035, Cosmetics;36.7;7.0;16.0;242280100000.0;49.284200000000006;0.68;0.32;0.007;0.019;0.438;935591.0;
LEGRAND;EUR;Stock;Ordinary Shares;Euronext Paris;FR0010307819;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;22.0;6.0;14.0;27149110000.0;468.1464;;0.25;;0.024;0.429;384000.0;0.066
LVMH;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121014;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;;7.0;16.0;428608830000.0;2.0116;0.71;;;0.016;0.438;1939763.0;0.165
MICHELIN;EUR;Stock;Ordinary Shares;Euronext Paris;FR001400AJ45;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires;41.0;5.0;11.0;26713620000.0;;0.199;0.445;;0.069;0.455;10844175.342;0.054
ORANGE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000133308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;21.1;6.0;15.0;30270300000.0;;0.362;0.341;0.012;0.07;0.4;10620414.0;0.043
PERNOD RICARD;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120693;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101015, Distillers and Vintners;22.47;8.0;14.0;39291470000.0;81.447116;0.4;0.353;0.013;0.035;0.571;1635242.0;0.085
PUBLICIS GROUPE SA;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000130577;40, Consumer Discretionary;4030, Media;403010, Media;40301020, Media Agencies;21.0;5.0;13.0;27524680000.0;11.3955;0.513;0.425;;0.015;0.385;111864.0;
RENAULT;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000131906;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;22.4;5.0;16.0;15321330000.0;1273.5033;0.22;0.356;0.0;0.032;0.313;3884241.0;
SAFRAN;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000073272;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;31.0;7.0;16.0;95182920000.0;;0.293;0.263;;0.052;0.438;2143484.0;0.077
SAINT GOBAIN;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000125007;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other;17.2;7.0;14.0;38616300000.0;867.6416;0.237;0.375;0.009;0.019;0.5;41854000.0;0.086
SANOFI;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120578;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;;;;115493660000.0;;;;;;;;
SCHNEIDER ELECTRIC SE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121972;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;24.1;7.0;14.0;132210270000.00002;763.2417;0.33;0.41;0.03;;0.5;1201276.0;0.085
SOCIETE GENERALE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000130809;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;7.0;15.0;21182790000.0;;;;;;0.467;454210.0;
STELLANTIS NV;EUR;Stock;Ordinary Shares;Euronext Paris;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;;3.0;11.0;82315100000.0;6858.244394;;;;;0.273;15494891.0;
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;
TELEPERFORMANCE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000051807;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205020, Professional Business Support Services;;7.0;16.0;5892490000.0;25.5623;;;;;0.438;317975.0;
